Geography,Year,Average income (dollars),Median income (dollars),"Number of persons (x 1,000)",Percentage without income,Percentage with income,"Percentage under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 and over"
Vancouver,1992,"27,600","22,800","1,380",7.2,92.8,23.5,20.8,16.4,15.2,11.6,5.8,6.7
Vancouver,1993,"26,800","22,000","1,380",6.4,93.6,22.6,23.2,17.3,14.2,9.7,6,7
Vancouver,1994,"26,700","22,100","1,423",7.6,92.4,23.4,21.7,17.5,14.1,10.1,6.8,6.5
Vancouver,1995,"27,300","23,200","1,443",6.8,93.2,22.8,20.8,17.8,13.7,11.2,6.3,7.4
Vancouver,1996,"26,400","21,700","1,539",6.2,93.8,24.6,22.3,16.7,14,9.7,5.8,6.9
Vancouver,1997,"27,100","22,500","1,554",6.1,93.9,25.9,19,17.4,13.9,9.9,6.3,7.6
Vancouver,1998,"28,600","23,700","1,470",3.5,96.5,22.7,21.1,17.2,14.1,9.6,6.9,8.5
Vancouver,1999,"28,100","22,600","1,572",4.9,95.1,24.5,20.2,16.4,14.5,10.1,6,8.4
Vancouver,2000,"27,800","22,400","1,591",4,96,24.2,21.7,14.5,15,9.1,5.9,9.6
Vancouver,2001,"29,200","23,300","1,597",4.1,95.9,23.5,20.7,15.4,14.3,9.8,6.1,10.2
Vancouver,2002,"30,400","22,900","1,653",3.2,96.8,23,21.5,16,12.9,9.4,6.5,10.7
Vancouver,2003,"29,800","22,900","1,657",2.9,97.1,22.6,22.4,15.7,13.3,9.4,5.8,10.9
Vancouver,2004,"30,300","22,600","1,680",2.7,97.3,21,24.6,15.1,12.7,9.2,5.5,12
Vancouver,2005,"30,800","23,900","1,818",2.6,97.4,22.7,20.1,16.3,14.8,8.6,6.1,11.4
Vancouver,2006,"33,100","25,700","1,765",3.2,96.8,21.5,19.7,14.9,13.5,10.5,7.1,12.9
Vancouver,2007,"34,100","26,800","1,814",2.3,97.7,21.4,17.9,15.9,13.9,9.6,8,13.2
Vancouver,2008,"34,500","25,700","1,940",0.4,99.6,21.3,20.1,13.9,12.3,10.8,7.5,14.2
Vancouver,2009,"32,900","25,400","1,940",2.8,97.2,22.7,19.6,14.2,13,9.9,7.7,12.9
Vancouver,2010,"32,500","23,600","2,031",2.9,97.1,22.7,21.5,13.5,12.2,10.6,7,12.5
Vancouver,2011,"33,400","26,100","1,928",2.7,97.3,18.3,21.5,14.8,12.9,12.5,6.4,13.7
Victoria,1976,"27,400","18,200",188,10.4,89.6,33.6,19,10.6,9.8,9.4,6.1,11.6
Victoria,1977,"26,800","22,200",146,9.7,90.3,27.4,18.1,16.1,11.7,11.2,7.4,8.1
Victoria,1978,"26,400","20,700",181,10.2,89.8,28.6,19.4,14.4,12.8,10.5,6.5,7.8
Victoria,1979,"27,500","21,800",172,10.2,89.8,29.2,17.6,15,14.4,6.7,7.7,9.5
Victoria,1980,"25,900","22,500",232,6.3,93.7,22.4,22.7,16.3,19.3,5.4,7.9,5.8
Victoria,1981,"28,300","23,600",200,7.7,92.3,23.5,20.2,16.5,12.3,9,8.3,10.2
Victoria,1982,"27,800","24,200",205,8.5,91.5,25.5,16.4,17.5,15.5,10.2,6.3,8.5
Victoria,1983,"27,700","22,100",220,5.5,94.5,23.4,23.6,15.2,12,10.5,7.9,7.4
Victoria,1984,"27,700","23,200",190,5.7,94.3,23.6,20.2,17.3,14.7,9.3,7.3,7.4
Victoria,1985,"27,400","21,400",206,5.9,94.1,23.2,23.6,16.4,14.3,8.5,5.7,8.2
Victoria,1986,"27,600","22,800",213,5.2,94.8,23.7,20.8,19,12.7,9.5,6.7,7.7
Victoria,1987,"25,200","20,600",216,7,93,23.7,25,17.1,14.6,7.8,6.4,5.3
Victoria,1988,"26,700","22,000",217,5.2,94.8,19.7,25.8,20.7,11.7,9.4,6,6.7
Victoria,1989,"26,500","23,000",223,4.4,95.6,20.9,22.2,20.9,11.2,14.1,5.5,5.2
Victoria,1990,"27,800","24,100",236,5.7,94.3,21.1,21.2,16.6,16.6,10.7,8.3,5.4
Victoria,1991,"27,800","24,900",237,4.9,95.1,20.6,18.8,19.8,15.8,11.2,6.1,7.7
Victoria,1992,"25,600","21,900",245,4.6,95.4,20.1,24.9,19.2,16.5,8.5,5.2,5.6
Victoria,1993,"26,000","23,000",237,3.5,96.5,21.2,22.4,20,15.1,10,7.5,3.8
Victoria,1994,"26,600","21,700",254,4.5,95.5,21.8,23.9,18.7,12.3,11.3,5.7,6.2
Victoria,1995,"27,400","23,900",261,5.3,94.7,21.4,21.8,18.1,13.9,10.5,8.5,5.8
Victoria,1996,"28,000","23,200",253,4.5,95.5,22.3,19.8,17.9,16,10.2,5.5,8.3
Victoria,1997,"26,900","23,600",255,4.2,95.8,22.7,21.3,15.7,17.9,10.4,5.3,6.7
Victoria,1998,"27,400","24,800",252,2.4,97.6,19,22.9,19.6,15.8,10.2,5.8,6.8
Victoria,1999,"28,100","23,100",247,3,97,17.5,26.9,16.1,16.1,10.1,6.3,6.9
Victoria,2000,"27,900","24,200",261,2,98,18.7,23.8,16.1,16.6,12.9,5.7,6.3
Victoria,2001,"30,500","28,200",267,2.5,97.5,17.6,21.3,13.5,19.6,13.1,6.2,8.6
Victoria,2002,"32,000","26,900",254,2.1,97.9,15.5,23.2,15.7,15.5,15.1,6.6,8.4
Victoria,2003,"29,100","23,700",267,2.4,97.6,19.4,24.2,16.8,13.4,10.5,6.6,9.2
Victoria,2004,"32,900","26,300",254,3,97,19.9,19,16.4,15.9,11.8,5.5,11.5
Victoria,2005,"35,100","23,600",294,1.6,98.4,18.5,21.2,20.9,13.5,8.6,5.9,11.4
Victoria,2006,"32,100","25,100",297,0.7,99.3,14.4,25.7,17.6,12.7,11.9,5.8,11.9
Victoria,2007,"33,700","27,600",275,1.5,98.5,13.5,20.9,19.2,14.9,11.6,6.7,13
Victoria,2008,"37,400","31,900",297,0.1,99.9,13.4,15.3,18.2,15.2,15.5,7.7,14.8
Victoria,2009,"37,900","31,600",300,1.6,98.4,12.4,19.8,15.4,14.5,13.5,9.5,14.9
Victoria,2010,"36,900","30,400",297,1.7,98.3,16.7,15.9,16.9,12.7,12.8,8.8,16.1
Victoria,2011,"33,800","27,900",341,2.3,97.7,15.2,20.8,17.3,15,9.5,7.5,14.8
