Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1976,Manitoba,All family units,Total income,Highest quintile,118600,43.5
1976,Manitoba,All family units,After-tax income,Total of quintiles,46800,100
1976,Manitoba,All family units,After-tax income,Lowest quintile,8400,3.6
1976,Manitoba,All family units,After-tax income,Second quintile,25300,10.8
1976,Manitoba,All family units,After-tax income,Third quintile,42100,18
1976,Manitoba,All family units,After-tax income,Fourth quintile,60200,25.7
1976,Manitoba,All family units,After-tax income,Highest quintile,98100,41.9
1976,Manitoba,"Economic families, two persons or more",Market income,Total of quintiles,60200,100
1976,Manitoba,"Economic families, two persons or more",Market income,Lowest quintile,5300,1.8
1976,Manitoba,"Economic families, two persons or more",Market income,Second quintile,36700,12.2
1976,Manitoba,"Economic families, two persons or more",Market income,Third quintile,55700,18.5
1976,Manitoba,"Economic families, two persons or more",Market income,Fourth quintile,77800,25.9
1976,Manitoba,"Economic families, two persons or more",Market income,Highest quintile,125200,41.6
1976,Manitoba,"Economic families, two persons or more",Total income,Total of quintiles,65200,100
1976,Manitoba,"Economic families, two persons or more",Total income,Lowest quintile,15000,4.6
1976,Manitoba,"Economic families, two persons or more",Total income,Second quintile,41600,12.8
1976,Manitoba,"Economic families, two persons or more",Total income,Third quintile,59800,18.3
1976,Manitoba,"Economic families, two persons or more",Total income,Fourth quintile,80800,24.8
1976,Manitoba,"Economic families, two persons or more",Total income,Highest quintile,128900,39.5
1976,Manitoba,"Economic families, two persons or more",After-tax income,Total of quintiles,55700,100
1976,Manitoba,"Economic families, two persons or more",After-tax income,Lowest quintile,14600,5.2
1976,Manitoba,"Economic families, two persons or more",After-tax income,Second quintile,37900,13.6
1976,Manitoba,"Economic families, two persons or more",After-tax income,Third quintile,52300,18.7
1976,Manitoba,"Economic families, two persons or more",After-tax income,Fourth quintile,67300,24.2
1976,Manitoba,"Economic families, two persons or more",After-tax income,Highest quintile,106700,38.3
1976,Manitoba,Unattached individuals,Market income,Total of quintiles,22500,100
1976,Manitoba,Unattached individuals,Market income,Lowest quintile,800,0.7
1976,Manitoba,Unattached individuals,Market income,Second quintile,7900,7
1976,Manitoba,Unattached individuals,Market income,Third quintile,16600,14.7
1976,Manitoba,Unattached individuals,Market income,Fourth quintile,27900,24.8
1976,Manitoba,Unattached individuals,Market income,Highest quintile,59400,52.8
1976,Manitoba,Unattached individuals,Total income,Total of quintiles,25600,100
1976,Manitoba,Unattached individuals,Total income,Lowest quintile,5400,4.2
1976,Manitoba,Unattached individuals,Total income,Second quintile,13800,10.7
1976,Manitoba,Unattached individuals,Total income,Third quintile,19300,15
1976,Manitoba,Unattached individuals,Total income,Fourth quintile,29500,23
1976,Manitoba,Unattached individuals,Total income,Highest quintile,60200,47
1976,Manitoba,Unattached individuals,After-tax income,Total of quintiles,22900,100
1976,Manitoba,Unattached individuals,After-tax income,Lowest quintile,5400,4.7
1976,Manitoba,Unattached individuals,After-tax income,Second quintile,13300,11.6
1976,Manitoba,Unattached individuals,After-tax income,Third quintile,18600,16.2
1976,Manitoba,Unattached individuals,After-tax income,Fourth quintile,26200,22.9
1976,Manitoba,Unattached individuals,After-tax income,Highest quintile,51000,44.5
1976,Saskatchewan,All family units,Market income,Total of quintiles,52500,100
1976,Saskatchewan,All family units,Market income,Lowest quintile,5700,2.2
1976,Saskatchewan,All family units,Market income,Second quintile,19700,7.5
1976,Saskatchewan,All family units,Market income,Third quintile,45000,17.1
1976,Saskatchewan,All family units,Market income,Fourth quintile,69000,26.3
1976,Saskatchewan,All family units,Market income,Highest quintile,122900,46.8
1976,Saskatchewan,All family units,Total income,Total of quintiles,57200,100
1976,Saskatchewan,All family units,Total income,Lowest quintile,11300,4
1976,Saskatchewan,All family units,Total income,Second quintile,27700,9.7
1976,Saskatchewan,All family units,Total income,Third quintile,48500,17
1976,Saskatchewan,All family units,Total income,Fourth quintile,72100,25.2
1976,Saskatchewan,All family units,Total income,Highest quintile,126300,44.2
1976,Saskatchewan,All family units,After-tax income,Total of quintiles,49100,100
1976,Saskatchewan,All family units,After-tax income,Lowest quintile,11000,4.5
1976,Saskatchewan,All family units,After-tax income,Second quintile,26100,10.6
1976,Saskatchewan,All family units,After-tax income,Third quintile,43100,17.5
1976,Saskatchewan,All family units,After-tax income,Fourth quintile,61000,24.9
1976,Saskatchewan,All family units,After-tax income,Highest quintile,104200,42.5
1976,Saskatchewan,"Economic families, two persons or more",Market income,Total of quintiles,63500,100
1976,Saskatchewan,"Economic families, two persons or more",Market income,Lowest quintile,11400,3.6
1976,Saskatchewan,"Economic families, two persons or more",Market income,Second quintile,34500,10.9
1976,Saskatchewan,"Economic families, two persons or more",Market income,Third quintile,59300,18.7
1976,Saskatchewan,"Economic families, two persons or more",Market income,Fourth quintile,78300,24.7
1976,Saskatchewan,"Economic families, two persons or more",Market income,Highest quintile,133800,42.2
1976,Saskatchewan,"Economic families, two persons or more",Total income,Total of quintiles,68500,100
1976,Saskatchewan,"Economic families, two persons or more",Total income,Lowest quintile,20700,6
1976,Saskatchewan,"Economic families, two persons or more",Total income,Second quintile,40700,11.9
1976,Saskatchewan,"Economic families, two persons or more",Total income,Third quintile,62000,18.1
1976,Saskatchewan,"Economic families, two persons or more",Total income,Fourth quintile,81900,23.9
1976,Saskatchewan,"Economic families, two persons or more",Total income,Highest quintile,137000,40
1976,Saskatchewan,"Economic families, two persons or more",After-tax income,Total of quintiles,58400,100
1976,Saskatchewan,"Economic families, two persons or more",After-tax income,Lowest quintile,20000,6.8
1976,Saskatchewan,"Economic families, two persons or more",After-tax income,Second quintile,37800,13
1976,Saskatchewan,"Economic families, two persons or more",After-tax income,Third quintile,53300,18.2
1976,Saskatchewan,"Economic families, two persons or more",After-tax income,Fourth quintile,69000,23.6
1976,Saskatchewan,"Economic families, two persons or more",After-tax income,Highest quintile,112000,38.3
1976,Saskatchewan,Unattached individuals,Market income,Total of quintiles,22300,100
1976,Saskatchewan,Unattached individuals,Market income,Lowest quintile,4800,4.3
1976,Saskatchewan,Unattached individuals,Market income,Second quintile,3200,2.9
1976,Saskatchewan,Unattached individuals,Market income,Third quintile,9800,8.8
1976,Saskatchewan,Unattached individuals,Market income,Fourth quintile,28200,25.3
1976,Saskatchewan,Unattached individuals,Market income,Highest quintile,65400,58.7
1976,Saskatchewan,Unattached individuals,Total income,Total of quintiles,26300,100
1976,Saskatchewan,Unattached individuals,Total income,Lowest quintile,6100,4.7
1976,Saskatchewan,Unattached individuals,Total income,Second quintile,11400,8.7
1976,Saskatchewan,Unattached individuals,Total income,Third quintile,16300,12.4
1976,Saskatchewan,Unattached individuals,Total income,Fourth quintile,31000,23.6
1976,Saskatchewan,Unattached individuals,Total income,Highest quintile,66500,50.6
1976,Saskatchewan,Unattached individuals,After-tax income,Total of quintiles,23500,100
1976,Saskatchewan,Unattached individuals,After-tax income,Lowest quintile,5900,5.1
1976,Saskatchewan,Unattached individuals,After-tax income,Second quintile,11400,9.7
1976,Saskatchewan,Unattached individuals,After-tax income,Third quintile,15800,13.5
1976,Saskatchewan,Unattached individuals,After-tax income,Fourth quintile,27200,23.2
1976,Saskatchewan,Unattached individuals,After-tax income,Highest quintile,57000,48.6
1976,Alberta,All family units,Market income,Total of quintiles,62400,100
1976,Alberta,All family units,Market income,Lowest quintile,7400,2.4
1976,Alberta,All family units,Market income,Second quintile,30200,9.7
1976,Alberta,All family units,Market income,Third quintile,53800,17.2
1976,Alberta,All family units,Market income,Fourth quintile,80400,25.8
1976,Alberta,All family units,Market income,Highest quintile,140200,44.9
1976,Alberta,All family units,Total income,Total of quintiles,66200,100
1976,Alberta,All family units,Total income,Lowest quintile,13400,4
1976,Alberta,All family units,Total income,Second quintile,34700,10.5
1976,Alberta,All family units,Total income,Third quintile,56800,17.2
1976,Alberta,All family units,Total income,Fourth quintile,83100,25.1
1976,Alberta,All family units,Total income,Highest quintile,143000,43.2
1976,Alberta,All family units,After-tax income,Total of quintiles,56500,100
1976,Alberta,All family units,After-tax income,Lowest quintile,12800,4.5
1976,Alberta,All family units,After-tax income,Second quintile,31500,11.1
1976,Alberta,All family units,After-tax income,Third quintile,49700,17.6
1976,Alberta,All family units,After-tax income,Fourth quintile,70100,24.8
1976,Alberta,All family units,After-tax income,Highest quintile,118700,42
1976,Alberta,"Economic families, two persons or more",Market income,Total of quintiles,75400,100
1976,Alberta,"Economic families, two persons or more",Market income,Lowest quintile,15800,4.2
1976,Alberta,"Economic families, two persons or more",Market income,Second quintile,46800,12.4
1976,Alberta,"Economic families, two persons or more",Market income,Third quintile,68700,18.2
1976,Alberta,"Economic families, two persons or more",Market income,Fourth quintile,91700,24.3
1976,Alberta,"Economic families, two persons or more",Market income,Highest quintile,154200,40.9
1976,Alberta,"Economic families, two persons or more",Total income,Total of quintiles,79600,100
1976,Alberta,"Economic families, two persons or more",Total income,Lowest quintile,23600,5.9
1976,Alberta,"Economic families, two persons or more",Total income,Second quintile,50900,12.8
1976,Alberta,"Economic families, two persons or more",Total income,Third quintile,72000,18.1
1976,Alberta,"Economic families, two persons or more",Total income,Fourth quintile,94300,23.7
1976,Alberta,"Economic families, two persons or more",Total income,Highest quintile,157400,39.5
1976,Alberta,"Economic families, two persons or more",After-tax income,Total of quintiles,68000,100
1976,Alberta,"Economic families, two persons or more",After-tax income,Lowest quintile,22300,6.6
1976,Alberta,"Economic families, two persons or more",After-tax income,Second quintile,45400,13.4
